What is a financial instrument?,A financial instrument is any contract that gives rise to a financial asset of one entity and a financial liability or equity instrument of another entity.
What is a bond?,"A bond is a type of debt security sold by an entity (raises money) to investor. The issuer is obliged to repay the loan amount on a maturity date, with interest paid periodically."
What is a stock?,"A stock represents an ownership share in a company. When you buy a stock, you become a shareholder and have a claim on a portion of the company's assets and earnings."
What is a mutual fund?,"A mutual fund is an investment vehicle made up of a pool of funds collected from many investors for the purpose of investing in stocks, bonds, or other securities."
What is a money market instrument?,A money market instrument is a short-term debt security that trades at or above face value on the secondary market. Examples include Treasury bills and commercial paper.
What is a derivative?,"A derivative is a financial contract with a value derived from an underlying asset or group of assets, whose characteristics determine the value of the derivative itself."
What is an option?,"An option is a derivative that gives the buyer the right, but not the obligation, to buy or sell an underlying asset at a specified price on or before a certain date."
What is a future?,A futures contract is a standardized agreement to buy or sell a particular commodity or asset at a predetermined price at a specified time in the future.
What is a swap?,A swap is an over-the-counter derivative agreement between two parties to exchange cash flows based on a specified formula agreed upon by both parties.
What is a bond yield?,"Bond yield is the rate of return an investor will receive from buying a bond, expressed as a percentage. It's calculated using the bond's price and its coupon rate."
What is a stock dividend?,A stock dividend is a distribution of additional shares of stock to existing shareholders in proportion to their holdings.
What is capital gain?,"Capital gain is the increase in value of a capital asset (like stocks, property) that gives it a higher worth than the purchase price."
What is interest rate risk?,Interest rate risk refers to the possibility that changes in market interest rates will cause a decline in the market value of an investment.
What is liquidity risk?,Liquidity risk is the risk that a financial asset or security cannot be converted into ready cash without a significant loss in value due to a lack of ready buyers.
What is credit risk?,Credit risk is the possibility that one party to a financial transaction will not fulfill its obligation to make payments when they are due.
What is foreign exchange risk?,"Foreign exchange risk, or currency risk, is the risk that changes in foreign exchange rates will impact the value of assets and cash flows denominated in different currencies."
What is inflation risk?,Inflation risk refers to the potential loss in purchasing power of money due to rising prices over time.
What is reinvestment risk?,Reinvestment risk is the uncertainty about the return on future cash flows that an investor may have to reinvest.
What is volatility risk?,"Volatility risk, or systematic risk, is the variation in the value of a financial instrument over time due to changes in market conditions."
What is convexity?,Convexity is a measure of how much a bond's price will change in response to a given change in interest rates.
What is duration?,Duration is a measure of the sensitivity of the price (or yield) of a fixed income instrument to a change in interest rates.
What is a floating rate note?,"A floating rate note is a debt security that pays interest at a rate that adjusts periodically based on a specified benchmark, such as a short-term interbank lending rate."
What is an asset-backed security (ABS)?,"An asset-backed security is a type of financial instrument backed by cash flows from a specific portfolio of assets such as loans, leases, or receivables."
What is an exchange-traded fund (ETF)?,"An ETF is a type of investment fund that trades on stock exchanges just like individual stocks. Its shares represent an equal, proportional and unsecured interest in the ETF's portfolio."
What is a closed-end fund?,"A closed-end fund is a type of investment company that raises a fixed amount of capital by issuing a specified number of shares through an initial public offering, which then trade on a stock exchange."
What is a real estate investment trust (REIT)?,"A REIT is a company that owns and operates income-producing real estate properties, such as apartment complexes, shopping centers, office buildings, or hospitals."
What is a convertible bond?,A convertible bond is a debt security that can be converted by the holder into a specified number of shares of common stock of the issuing corporation.
What is an inverse ETF?,"An inverse ETF seeks to return a daily multiple (-1, -2, etc.) of the inverse performance of a specific index or benchmark."
What is a leveraged ETF?,A leveraged ETF aims to deliver a multiple (usually 2 or 3 times) of the daily return on a specific index or asset.
What is a volatility ETF?,"A volatility ETF seeks to replicate the performance of an index that measures the implied volatility of a broad-based market index, such as the S&P 500."
